phase	case	tool	run	seconds	input_bytes	output_bytes	sha256
compress	textual-16m	baseline	1	0.8643671819008887	16777216	1112642	ced4affed3071ca14c70cf8c6c23aa1693d077286ef697775fe24aa584fcd1db
compress	textual-16m	baseline	2	0.8648564820177853	16777216	1112642	ced4affed3071ca14c70cf8c6c23aa1693d077286ef697775fe24aa584fcd1db
compress	textual-16m	baseline	3	0.8651824791450053	16777216	1112642	ced4affed3071ca14c70cf8c6c23aa1693d077286ef697775fe24aa584fcd1db
compress	textual-16m	safe	1	1.4510584401432425	16777216	1112642	ced4affed3071ca14c70cf8c6c23aa1693d077286ef697775fe24aa584fcd1db
compress	textual-16m	safe	2	1.45307097886689	16777216	1112642	ced4affed3071ca14c70cf8c6c23aa1693d077286ef697775fe24aa584fcd1db
compress	textual-16m	safe	3	1.4590911990962923	16777216	1112642	ced4affed3071ca14c70cf8c6c23aa1693d077286ef697775fe24aa584fcd1db
compress	mixed-24m	baseline	1	3.9023462189361453	25165824	3827707	ddd7637f36aa4c7f81f411f124a4659fd832a1c61241481f74a433b98a801e8e
compress	mixed-24m	baseline	2	3.8684564710129052	25165824	3827707	ddd7637f36aa4c7f81f411f124a4659fd832a1c61241481f74a433b98a801e8e
compress	mixed-24m	baseline	3	3.925978999119252	25165824	3827707	ddd7637f36aa4c7f81f411f124a4659fd832a1c61241481f74a433b98a801e8e
compress	mixed-24m	safe	1	5.934559389017522	25165824	3827707	ddd7637f36aa4c7f81f411f124a4659fd832a1c61241481f74a433b98a801e8e
compress	mixed-24m	safe	2	5.882012736983597	25165824	3827707	ddd7637f36aa4c7f81f411f124a4659fd832a1c61241481f74a433b98a801e8e
compress	mixed-24m	safe	3	5.914564707083628	25165824	3827707	ddd7637f36aa4c7f81f411f124a4659fd832a1c61241481f74a433b98a801e8e
compress	random-8m	baseline	1	0.4784352339338511	8388608	8425793	d848c8ead89c17ffd4c8a60f28fa58eedcedbd5c06fd1e2d96208898d2e5ee28
compress	random-8m	baseline	2	0.4753334301058203	8388608	8425793	d848c8ead89c17ffd4c8a60f28fa58eedcedbd5c06fd1e2d96208898d2e5ee28
compress	random-8m	baseline	3	0.4502459189388901	8388608	8425793	d848c8ead89c17ffd4c8a60f28fa58eedcedbd5c06fd1e2d96208898d2e5ee28
compress	random-8m	safe	1	0.4083901811391115	8388608	8425793	d848c8ead89c17ffd4c8a60f28fa58eedcedbd5c06fd1e2d96208898d2e5ee28
compress	random-8m	safe	2	0.40068281604908407	8388608	8425793	d848c8ead89c17ffd4c8a60f28fa58eedcedbd5c06fd1e2d96208898d2e5ee28
compress	random-8m	safe	3	0.4056538389995694	8388608	8425793	d848c8ead89c17ffd4c8a60f28fa58eedcedbd5c06fd1e2d96208898d2e5ee28
