phase	case	tool	run	seconds	input_bytes	output_bytes	sha256
decompress	textual-16m	baseline	1	0.21693126508034766	1112642	16777216	862a5d922ae31c37090540d6b4a4e06e5de86d22a4e1d325182c3fd141899f91
decompress	textual-16m	baseline	2	0.20965900993905962	1112642	16777216	862a5d922ae31c37090540d6b4a4e06e5de86d22a4e1d325182c3fd141899f91
decompress	textual-16m	baseline	3	0.2178185610100627	1112642	16777216	862a5d922ae31c37090540d6b4a4e06e5de86d22a4e1d325182c3fd141899f91
decompress	textual-16m	safe	1	0.2267184010706842	1112642	16777216	862a5d922ae31c37090540d6b4a4e06e5de86d22a4e1d325182c3fd141899f91
decompress	textual-16m	safe	2	0.22648537904024124	1112642	16777216	862a5d922ae31c37090540d6b4a4e06e5de86d22a4e1d325182c3fd141899f91
decompress	textual-16m	safe	3	0.2225064169615507	1112642	16777216	862a5d922ae31c37090540d6b4a4e06e5de86d22a4e1d325182c3fd141899f91
decompress	mixed-24m	baseline	1	0.3184194089844823	3827707	25165824	585eda7401aeb258ee092cdfc8f10fcd6ed7eb83019f61abd5866f2500062414
decompress	mixed-24m	baseline	2	0.317043568007648	3827707	25165824	585eda7401aeb258ee092cdfc8f10fcd6ed7eb83019f61abd5866f2500062414
decompress	mixed-24m	baseline	3	0.3187854690477252	3827707	25165824	585eda7401aeb258ee092cdfc8f10fcd6ed7eb83019f61abd5866f2500062414
decompress	mixed-24m	safe	1	0.3218447130639106	3827707	25165824	585eda7401aeb258ee092cdfc8f10fcd6ed7eb83019f61abd5866f2500062414
decompress	mixed-24m	safe	2	0.32611591392196715	3827707	25165824	585eda7401aeb258ee092cdfc8f10fcd6ed7eb83019f61abd5866f2500062414
decompress	mixed-24m	safe	3	0.3232699381187558	3827707	25165824	585eda7401aeb258ee092cdfc8f10fcd6ed7eb83019f61abd5866f2500062414
decompress	random-8m	baseline	1	0.2807407369837165	8425793	8388608	04a7132d420e1784950173044b4e7fb4b5548d6f13109f4e29be00e5e0e3c723
decompress	random-8m	baseline	2	0.28315367083996534	8425793	8388608	04a7132d420e1784950173044b4e7fb4b5548d6f13109f4e29be00e5e0e3c723
decompress	random-8m	baseline	3	0.28275496303103864	8425793	8388608	04a7132d420e1784950173044b4e7fb4b5548d6f13109f4e29be00e5e0e3c723
decompress	random-8m	safe	1	0.3218332501128316	8425793	8388608	04a7132d420e1784950173044b4e7fb4b5548d6f13109f4e29be00e5e0e3c723
decompress	random-8m	safe	2	0.3193486570380628	8425793	8388608	04a7132d420e1784950173044b4e7fb4b5548d6f13109f4e29be00e5e0e3c723
decompress	random-8m	safe	3	0.3173222600016743	8425793	8388608	04a7132d420e1784950173044b4e7fb4b5548d6f13109f4e29be00e5e0e3c723
